text_form	form	lemma	pos
եւ	եւ	եւ	I+Conj
ո՞ւր	ուր	ուր	I+Adv
բազմեալ	բազմեալ	բազմիմ	V
իցես,	իցես	եմ	V
եւ	եւ	եւ	I+Conj
ո՞յք	ոյք	ո՞	PRO+Int
են	են	եմ	V
ընդ	ընդ	ընդ	I+Prep
որոց	որոց	որ	PRO+Rel
իցեսն,	իցեսն	եմ@ն	V@PRO+Dem
զայս	զայս	զ@այս (սա)	I+Prep@PRO+Dem
կամէի	կամէի	կամիմ	V
իմանալ։	իմանալ	իմանամ	V
Եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
մի,	մի	մի (միոջ)	NUM+Car
եւ	եւ	եւ	I+Conj
կամ	կամ	կամ (եւ)	I+Conj
ո՛չ	ոչ	ոչ	I+Neg
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
ըստ	ըստ	ըստ	I+Prep
կամաց	կամաց	կամ (կամաց)	N+Com
պատահէ	պատահէ	պատահեմ	V
քեզ,	քեզ	դու	PRO+Per2s
մի՛	մի	մի (ոչ)	I+Neg
զայրանար․	զայրանար	զայրանամ	V
յիշեա՛	յիշեա	յիշեմ	V
զայն՝	զայն	զ@այն	I+Prep@PRO+Dem
որ	որ	որ	PRO+Rel
ոչ	ոչ	ոչ	I+Neg
ունէր	ունէր	ունիմ	V
դնել	դնել	դնեմ	V
զգլուխն։	զգլուխն	զ@գլուխ@ն	I+Prep@N+Com@PRO+Dem
Եթէ	եթէ	եթե	I+Conj
զգլուխն	զգլուխն	զ@գլուխ@ն	I+Prep@N+Com@PRO+Dem
ամենեցուն	ամենեցուն	ամենեքեան	PRO+Ind
ոչ	ոչ	ոչ	I+Neg
ընկալան	ընկալան	ընդունիմ	V
որ	որ	որ	PRO+Rel
աւրինակաւն	աւրինակաւն	աւրինակ@ն	N+Com@PRO+Dem
խաւսէր։	խաւսէր	խաւսիմ	V
Գիտես	գիտես	գիտեմ	V
եւ	եւ	եւ	I+Conj
դու,	դու	դու	PRO+Per2s
զի	զի	զի	I+Conj
երկիր	երկիր	երկիր	N+Com
ընդդէմ	ընդդէմ	ընդդէմ	I+AdvPr
աղուեսուց	աղուեսուց	աղուէս	N+Com
ոչ	ոչ	ոչ	I+Neg
հակառակի,	հակառակի	հակառակեմ	V
որ	որ	որ	PRO+Rel
կամին	կամին	կամիմ	V
առնել	առնել	առնեմ	V
ի	ի	ի	I+Prep
նմա	նմա	նա (նա)	PRO+Dem
որջս։	որջս	որջ	N+Com
Բայց	բայց	բայց	I+Conj
է՛	է	եմ	V
զի	զի	զի	I+Conj
փլանի	փլանի	փլանիմ	V
եւ	եւ	եւ	I+Conj
հեղձուցանէ	հեղձուցանէ	հեղձուցանեմ	V
զնոսա։	զնոսա	զ@նա (նա)	I+Prep@PRO+Dem
Եւ	եւ	եւ	I+Conj
ես	ես	ես	PRO+Per1s
շնորհ	շնորհ	շնորհ	N+Com
ունիմ	ունիմ	ունիմ	V
Տեառն,	տեառն	տէր	N+Com
որ	որ	որ	PRO+Rel
սիրով	սիրով	սէր	N+Com
ընկալար	ընկալար	ընդունիմ	V
զմեզ,	զմեզ	զ@մեք	I+Prep@PRO+Per1p
եւ	եւ	եւ	I+Conj
գիտել	գիտել	գիտեմ	V
ետուր	ետուր	տամ	V
ամենայն	ամենայն	ամենայն	PRO+Ind
մարդոյ	մարդոյ	մարդ	N+Com
զսէր	զսէր	զ@սէր	I+Prep@N+Com
քո	քո	դու	PRO+Per2s
անարատ	անարատ	անարատ	A
առ	առ	առ (ի)	I+Prep
մեզ։	մեզ	մեք	PRO+Per1p
Թուղթ	թուղթ	թուղթ	N+Com
Մելինեայ	մելինեայ	Մելինէ	N+Ant
Չորրորդ	չորրորդ	չորրորդ	NUM+Ord
Զգիր	զգիր	զ@գիր	I+Prep@N+Com
սրբութեան	սրբութեան	սրբութիւն	N+Com
քո	քո	դու	PRO+Per2s
տեսաք,	տեսաք	տեսանեմ	V
եւ	եւ	եւ	I+Conj
սէր	սէր	սէր	N+Com
քո	քո	դու	PRO+Per2s
բարի	բարի	բարի	A
է	է	եմ	V
առ	առ	առ (ի)	I+Prep
