context = You are an expert in computational linguistics with a specialization in Ancient Greek language processing. An academic has compiled a database of Ancient Greek words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Ancient Greek texts.
Objective (O):  Examine the provided Ancient Greek content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Ancient Greek language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
form	lemma	pos
καί	καί	I+Part
τούτοις	οὗτος	PRO+Dem
γε	γε	I+Part
χρῆσθαι	χράομαι (–άω)	V
κατ´	κατά	I+Prep
ἐπιστήμην	ἐπιστήμη	N+Com
θαρρεῖν	θαρσέω	V
τῇ	ὁ	DET
δ´	δέ	I+Part
ἐπιταγῇ	ἐπιταγή	N+Com
τοῦ	ὁ	DET
προστεταχότος	προστάσσω	V
ἡμῖν	ἡμεῖς	PRO+Per1p
καί	καί	I+Part
τῷ	ὁ	DET
μή	μή	I+Neg
μέμψιν	μέμψις	N+Com
ἔχειν	ἔχω	V
εἰ	εἰ	I+Conj
τις	τις	PRO+Ind
τήν	ὁ	DET
ἑαυτοῦ	ἑαυτοῦ	PRO+Ref3s
πρός	πρός	I+Prep
τι	τις	PRO+Ind
τῶν	ὁ	DET
ἀναγκαίων	ἀναγκαῖος	A
ἐνδείκνυται	ἐνδείκνυμι	V
δύναμιν	δύναμις	N+Com
ἀνέγκλητον	ἀνέγκλητος	A
εἶναι	εἰμί	V
οἰόμενοι	οἴομαι (–ω)	V
πανταχοῦ	πανταχοῦ	I+Adv
τό	ὁ	DET
πάνθ´	πᾶς	A
ὁντινοῦν	ὁστισοῦν	PRO+Rel
μή	μή	I+Neg
πρός	πρός	I+Prep
ἐπίδειξιν	ἐπίδειξις	N+Com
πρός	πρός	I+Prep
δέ	δέ	I+Part
τό	ὁ	DET
μή	μή	I+Neg
τάφῳ	τάφος (ὁ)	N+Com
σιγῆς	σιγή	N+Com
παραπέμπεσθαι	παραπέμπω	V
τά	ὁ	DET
πρός	πρός	I+Prep
ἀκρόασιν	ἀκρόασις	N+Com
ἄξια	ἄξιος	A
τοῖς	ὁ	DET
κατά	κατά	I+Prep
δύναμιν	δύναμις	N+Com
ἐγχειρεῖν	ἐγχειρέω	V
λόγοις	λόγος	N+Com
ἑκάστοτε	ἑκάστοτε	I+Adv
ποιήσομαι	ποιέω	V
δέ	δέ	I+Part
τόν	ὁ	DET
λόγον	λόγος	N+Com
ἁπλοῦν	ἁπλόος	A
τε	τε	I+Part
καί	καί	I+Part
εὔληπτον	εὔληπτος	A
ἀλλά	ἀλλά	I+Part
δή	δή	I+Part
καί	καί	I+Part
συνεσταλμένον	συστέλλω	V
ὡς	ὡς (ὅς)	I+Conj
τά	ὁ	DET
πολλά	πολύς	A
κατά	κατά	I+Prep
τόν	ὁ	DET
σόν	σός	PRO+Pos2s
λόγον	λόγος	N+Com
τἀναγκαῖα	ὁ@ἀναγκαῖος	DET@A
μόνον	μόνος	A
περιλαβών	περιλαμβάνω	V
καί	καί	I+Part
ὅσα	ὅσος	PRO+Rel
δή	δή	I+Part
παρεθέντα	παρίημι	V
ζημία	ζημία	N+Com
σοι	σύ	PRO+Per2s
λογισθήσεται	λογίζομαι	V
πρός	πρός	I+Prep
ἀκρόασιν	ἀκρόασις	N+Com
κεχηνότι	χαίνω	V
εἰ	εἰ	I+Conj
μέν	μέν	I+Part
οὖν	οὖν	I+Part
τις	τις	PRO+Ind
ἐτύγχανες	τυγχάνω	V
ὤν	εἰμί	V
τῶν	ὁ	DET
οὐκ	οὐ	I+Neg
εἰδότων	οἶδα	V
τήν	ὁ	DET
πόλιν	πόλις	N+Com
τά	ὁ	DET
καθ´	κατά	I+Prep
ἕκαστον	ἕκαστος	PRO+Ind
τε	τε	I+Part
ἠγνόεις	ἀγνοέω	V
αὐτῆς	αὐτός	PRO+Dem
ὥσπερ	ὥσπερ	I+Conj
οἱ	ὁ	DET
πρῶτον	πρῶτος	NUM+Ord
ἐξ	ἐκ	I+Prep
ἀλλοδαπῆς	ἀλλοδαπός	A
εἰς	εἰς	I+Prep
ἑτέραν	ἕτερος	PRO+Ind
μετοικήσαντες	μετοικέω	V
πόλιν	πόλις	N+Com
ἕως	ἕως (μέχρι)	I+Conj
ἄν	ἄν	I+Part
τό	ὁ	DET
τοῦ	ὁ	DET
χρόνου	χρόνος	N+Com
μῆκος	μῆκος	N+Com
ταύτην	οὗτος	PRO+Dem
αὐτοῖς	αὐτός	PRO+Dem
κατά	κατά	I+Prep
μέρος	μέρος	N+Com
γνωρίσειεν	γνωρίζω	V
ἐδεόμην	δέω (δεήσω)	V
λόγων	λόγος	N+Com
ἄν	ἄν	I+Part
ἐνταῦθα	ἐνταῦθα	I+Adv
μακρῶν	μακρός	A
ἵνα	ἵνα	I+Conj
μηδέν	μηδείς	PRO+Ind
τῶν	ὁ	DET
τῆς	ὁ	DET
πόλεως	πόλις	N+Com
τήν	ὁ	DET
σήν	σός	PRO+Pos2s
διαφύγῃ	διαφεύγω	V
γνῶσιν	γνῶσις	N+Com
ἐπεί	ἐπεί	I+Conj
δέ	δέ	I+Part
πρός	πρός	I+Prep
θρέμμα	θρέμμα	N+Com
ταύτης	οὗτος	PRO+Dem
τόν	ὁ	DET
λόγον	λόγος	N+Com
ποιοῦμαι	ποιέω	V
καί	καί	I+Part
ἀκριβέστερον	ἀκριβής	A
ἤ	ἤ (καί)	I+Part
πολλούς	πολύς	A
ἄλλους	ἄλλος	PRO+Ind
τά	ὁ	DET
κατ´	κατά	I+Prep
αὐτήν	αὐτός	PRO+Dem
ἐγνωκότα	γιγνώσκω	V
μάτην	μάτη	N+Com
οἱ	ὁ	DET
μακροί	μακρός	A
περί	περί	I+Prep
τούτων	οὗτος	PRO+Dem
λόγοι	λόγος	N+Com
καί	καί	I+Part
ἡ	ὁ	DET
περί	περί	I+Prep
τῆς	ὁ	DET
θέσεως	θέσις	N+Com
μεγέθους	μέγεθος	N+Com
τε	τε	I+Part
καί	καί	I+Part
κάλλους	κάλλος	N+Com
καί	καί	I+Part
τειχῶν	τεῖχος	N+Com
ἀσφαλείας	ἀσφάλεια	N+Com
καί	καί	I+Part
προσέτι	προσέτι	I+Adv
τοῦ	ὁ	DET
εὖ	εὖ	I+Adv
κεκρᾶσθαι	κεράννυμι	V
καί	καί	I+Part
τῶν	ὁ	DET
ἄλλων	ἄλλος	PRO+Ind
ἀκρίβεια	ἀκρίβεια	N+Com
καί	καί	I+Part
μάλισθ´	μάλα	I+Adv
ὅτι	ὅτι	I+Conj
πρό	πρό	I+Prep
μακρῶν	μακρός	A
ἐτῶν	ἔτος	N+Com
τά	ὁ	DET
περί	περί	I+Prep
τῆς	ὁ	DET
πόλεως	πόλις	N+Com
ἕτεροι	ἕτερος	PRO+Ind
φιλοπόνως	φιλοπόνως	I+Adv
ἄγαν	ἄγαν	I+Adv
δυνάμει	δύναμις	N+Com
λόγου	λόγος	N+Com
καί	καί	I+Part
ῥητορικῆς	ῥητορικός	A
εὐγλωττίας	εὐγλωσσία	N+Com
δεινότητι	δεινότης	N+Com
ἠκριβωμένως	ἠκριβωμένως	I+Adv
ἐξέθεντο	ἐκτίθημι	V
καί	καί	I+Part
μετά	μετά	I+Prep
τήν	ὁ	DET
πρώτην	πρῶτος	NUM+Ord
πασῶν	πᾶς	A
εἰπεῖν	λέγω	V
λαμπροτέραν	λαμπρός	A
πολλαῖς	πολύς	A
ἀποδείξεσιν	ἀπόδειξις	N+Com
ἀποφῆναι	ἀποφαίνω	V
ταύτην	οὗτος	PRO+Dem
ἐσπούδασαν	σπουδάζω	V
ἐκείνοις	ἐκεῖνος	PRO+Dem
δ´	δέ	I+Part
ἐμαυτόν	ἐμαυτοῦ	PRO+Ref1s
ἔγωγε	ἔγωγε	PRO+Per1s
μόνον	μόνος	A
διηγούμενος	διηγέομαι	V
δώσω	δίδωμι	V
ὧνπερ	ὅσπερ	PRO+Rel
ἡ	ὁ	DET
πόλις	πόλις	N+Com
ἐν	ἐν	I+Prep
τῷ	ὁ	DET
τῆς	ὁ	DET
νῦν	νῦν	I+Adv
ἁλώσεως	ἅλωσις	N+Com
χρόνῳ	χρόνος	N+Com
πεπείρατο	πειράω	V
καθάπερ	καθάπερ	I+Adv
ἔφης	φημί	V
καί	καί	I+Part
συ	σύ	PRO+Per2s
πρός	πρός	I+Prep
ἡμᾶς	ἡμεῖς	PRO+Per1p
μικρόν	μικρός	A
πρό	πρό	I+Prep
ταύτης	οὗτος	PRO+Dem
ἀπάρας	ἀπαίρω	V
ἐνθένδε	ἐνθένδε	I+Adv
καί	καί	I+Part
διά	διά	I+Prep
τοῦτο	οὗτος	PRO+Dem
τό	ὁ	DET
κακόν	κακός	A
οὐκ	οὐ	I+Neg
εἰδώς	οἶδα	V
ἀκριβῶς	ἀκριβῶς	I+Adv
ὅπως	ὅπως	I+Conj
κεχώρηκε	χωρέω	V
τά	ὁ	DET
τῶν	ὁ	DET
λατίνων	Λατῖνος η ον	A
γάρ	γάρ	I+Part
οἶδ´	οἶδα	V
ὅτι	ὅτι	I+Conj
καί	καί	I+Part
αὐτός	αὐτός	PRO+Dem
οἶσθα	οἶδα	V
σαφέστατα	σαφής	A
τῇ	ὁ	DET
πόλει	πόλις	N+Com
παρών	πάρειμι (εἰμί)	V
καί	καί	I+Part
καθ´	κατά	I+Prep
Note:
- Pay close attention to each word's context, as some may have multiple POS tags.
- All words in the input must be annotated without omission.
- Only use or combine tags from the provided tagset:
${HYE_tagset}
A form can also be a combination of multiple tokens and POS. For example:
ταὐτόν combination of ὁ and αὐτός lemmata, and then combination of DET andPRO+Dem.
In this case, we will identify the combination with a `@`:
Output: ταὐτόν	ὁ@αὐτός	DET@PRO+Dem
Input text to process:
${HYE_test}
