context = You are an expert in computational linguistics with a specialization in Classical Armenian language processing. An academic has compiled a database of Classical Armenian words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Classical Armenian texts.
Objective (O):  Examine the provided Classical Armenian content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Classical Armenian language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
```
form	lemma	pos
յարարիչն	ի@արարիչ@ն	I+Prep@N+Com@PRO+Dem
եւ	եւ	I+Conj
մատուցանել	մատուցանել	V
նմա	նա	PRO+Dem
աղաւթս	աղաւթք	N+Com
արդարս	արդար	A
եւ	եւ	I+Conj
թէ	եթե	I+Conj
որ	որ	PRO+Rel
փորձին	փորձեմ@ն	V@PRO+Dem
մատչի	մատչիլ	V
առ	առ	I+Prep
աստուած	աստուած	N+Com
բարի	բարի	A
է	լինել	V
մեզ	մեք	PRO+Per1p
մերձենալ	մերձենալ	V
առ	առ	I+Prep
աստուած	աստուած	N+Com
եւ	եւ	I+Conj
որպէս	որպէս	I+Conj
ասացն	ասել@ն	V@PRO+Dem
պաւղոս	Պաւղոս	N+Ant
նեղութիւն	նեղութիւն	N+Com
զհամբերութիւն	զ@համբերութիւն	I+Prep@N+Com
գործէ	գործել	V
եւ	եւ	I+Conj
նա	նա	PRO+Dem
զհանդէս	զ@հանդէս	I+Prep@N+Com
եւ	եւ	I+Conj
նա	նա	PRO+Dem
զյոյս	զ@յոյս	I+Prep@N+Com
եւ	եւ	I+Conj
նա	նա	PRO+Dem
ոչ	ոչ	I+Neg
ամաչեցուցանէ	ամաչեցուցանել	V
այլ	այլ	I+Conj
առնէ	առնել	V
զմիտս	զ@միտ	I+Prep@N+Com
ընդունակ	ընդունակ	A
արքայութեան	արքայութիւն	N+Com
երկնից	երկին	N+Com
եւ	եւ	I+Conj
այժմ	այժմ	I+Adv
դու	դու	PRO+Per2s
հեզդ	հեզ@դ	A@PRO+Dem
բարեհայեաց	բարեհայեաց	A
լեր	լինել	V
ոչ	ոչ	I+Neg
միայն	միայն	A
առ	առ	I+Prep
կանայս	կին	N+Com
այլ	այլ	I+Conj
եւ	եւ	I+Conj
առ	առ	I+Prep
արս	այր	N+Com
եւ	եւ	I+Conj
առ	առ	I+Prep
այլ	այլ	A
ամենայն	ամենայն	PRO+Ind
ոք	ոք	PRO+Ind
յաւրինակ	ի@աւրինակ	I+Prep@N+Com
համբերական	համբերական	A
առաքինութեան	առաքինութիւն	N+Com
զոր	զ@որ	I+Prep@PRO+Rel
վայելէ	վայելել	V
աղախնոյն	աղախին@ն	N+Com@PRO+Dem
քրիստոսի	Քրիստոս	N+Ant
մահու	մահ	N+Com
չափ	չափ	N+Com
պատերազմել	պատերազմիլ	V
եւ	եւ	I+Conj
ցուցանել	ցուցանել	V
ամենայն	ամենայն	PRO+Ind
աշխարհի	աշխարհ	N+Com
եթէ	եթե	I+Conj
այնպէս	այնպէս	I+Adv
զինու	զէն	N+Com
վառեաց	վառել	V
տէր	տէր	N+Com
զկանայս	զ@կին	I+Prep@N+Com
զի	զի	I+Conj
յաղթեն	յաղթել	V
արուսեկին	արուսեակ@ն	N+Com@PRO+Dem
առաւաւտու	առաւաւտ	N+Com
ասացելոյ	ասել	V
տկար	տկար	A
մարմնով	մարմին	N+Com
եւ	եւ	I+Conj
զաւրութեամբ	զաւրութիւն	N+Com
պատուիրանին	պատուիրան@ն	N+Com@PRO+Dem
եւ	եւ	I+Conj
քաջութեամբ	քաջութիւն	N+Com
հաւատոց	հաւատ	N+Com
եւ	եւ	I+Conj
մեք	մեք	PRO+Per1p
կամք	կալ	V
ի	ի	I+Prep
տրին	Տրին	N+Top
համբերութեամբ	համբերութիւն	N+Com
ի	ի	I+Prep
մերում	մեր	PRO+Pos1p
մարտիս	մարտ@ս	N+Com@PRO+Dem
ողջ	ողջ	A
լեր	լինել	V
նորին	նոյն	PRO+Dem
երկրորդ	երկրորդ	NUM+Ord
թուղթ	թուղթ	N+Com
ժբ	ժբ	NUMA+Car
գրես	գրել	V
միշտ	միշտ	I+Adv
առ	առ	I+Prep
իս	ես	PRO+Per1s
որպէս	որպէս	I+Conj
առ	առ	I+Prep
մշակ	մշակ	N+Com
երկնային	երկնային	A
երկրին	երկիր@ն	N+Com@PRO+Dem
եւ	եւ	I+Conj
ոչ	ոչ	I+Neg
է	լինել	V
տեսեալ	տեսանել	V
քո	դու	PRO+Per2s
զանդն	զ@անդ@ն	I+Prep@N+Com@PRO+Dem
իմ	ես	PRO+Per1s
լի	լի	A
փշովք	փուշ	N+Com
եւ	եւ	I+Conj
տատասկով	տատասկ	N+Com
եւ	եւ	I+Conj
ոչ	ոչ	I+Neg
զայգին	զ@այգի@ն	I+Prep@N+Com@PRO+Dem
իմ	ես	PRO+Per1s
գաւս	գաւս	A
եւ	եւ	I+Conj
անպտուղ	անպտուղ	A
զրկեալ	զրկել	V
ի	ի	I+Prep
հոգեւոր	հոգեւոր	A
ողկուզաց	ողկոյզ	N+Com
բայց	բայց	I+Conj
համարձակիմք	համարձակել	V
ասել	ասել	V
թէ	եթե	I+Conj
ոչ	ոչ	I+Neg
են	լինել	V
պատրաստեալ	պատրաստել	V
հոգիք	հոգի	N+Com
մարմնաւորք	մարմնաւոր	A
ագանել	ագանիլ	V
կաւշիկս	կաւշիկ	N+Com
մնալ	մնալ	V
անխածս	անխած	A
յաւձից	ի@աւձ	I+Prep@N+Com
չարաց	չար	A
ոչ	ոչ	I+Neg
կարեն	կարել	V
եւ	եւ	I+Conj
եղկելիք	եղկելի	A
են	լինել	V
եւ	եւ	I+Conj
ի	ի	I+Prep
պակասութենէ	պակասութիւն	N+Com
ջրոց	ջուր	N+Com
այրեցաք	այրել	V
զպուտկունս	զ@պուտուկ	I+Prep@N+Com
մեր	մեք	PRO+Per1p
ամաչեմ	ամաչել	V
եւ	եւ	I+Conj
վասն	վասն	I+Prep
տապարին	տապար@ն	N+Com@PRO+Dem
իմոյ	իմ	PRO+Pos1s
թէ	եթե	I+Conj
որքան	որքան	A
հարկանէր	հարկանել	V
ի	ի	I+Prep
փայտ	փայտ	N+Com
վայթէր	վայթել	V
հուր	հուր	N+Com
եւ	եւ	I+Conj
հարկանէր	հարկանել	V
զվէմս	զ@վէմ	I+Prep@N+Com
եւ	եւ	I+Conj
կամ	կամ	I+Conj
զսիրտս	զ@սիրտ	I+Prep@N+Com
վիմին	վէմ@ն	N+Com@PRO+Dem
եւ	եւ	I+Conj
կամ	կամ	I+Conj
ոչ	ոչ	I+Neg
գիտեմ	գիտել	V
զինչ	զ@ինչ	I+Prep@PRO+Ind
կոչեցից	կոչել	V
զնա	զ@նա	I+Prep@PRO+Dem
եւ	եւ	I+Conj
յետ	յետ	I+Prep
այլոցդ	այլ@դ	A@PRO+Dem
առաքեցեր	առաքել	V
մեզ	մեք	PRO+Per1p
արծաթ	արծաթ	N+Com
մաքուր	մաքուր	A
իսկ	իսկ	I+Conj
մեք	մեք	PRO+Per1p
բարիոք	բարիոք	I+Adv
առնելով	առնել	V
առաքեցաք	առաքել	V
զնոյն	զ@նոյն	I+Prep@PRO+Dem
առ	առ	I+Prep
քեզ	դու	PRO+Per2s
սկիք	սկի	N+Com
եւ	եւ	I+Conj
մաղզմայք	մաղզմայ	N+Com
զոր	զ@որ	I+Prep@PRO+Rel
արդ	արդ	I+Adv
ունիմք	ունիլ	V
ոչ	ոչ	I+Neg
գիտացաք	գիտել	V
կազմել	կազմել	V
եւ	եւ	I+Conj
երանի	երանի	A
այժմ	այժմ	I+Adv
թէ	եթե	I+Conj
պակասիմ	պակասել	V
ի	ի	I+Prep
բանդէ	բանդ	N+Com
միթէ	միթե	I+Adv
իւիք	իք	PRO+Ind
վիրաւորեցաք	վիրաւորել	V
զարեգակն	զ@արեգակն	I+Prep@N+Com
ալամփոս	Ողիմպոս	N+Top
բայց	բայց	I+Conj
գոհանամ	գոհանալ	V
զաստուծոյ	զ@աստուած	I+Prep@N+Com
զի	զի	I+Conj
արարաք	առնել	V
զատիկ	զատիկ	N+Com
սուրբ	սուրբ	A
ընդ	ընդ	I+Prep
այրս	այր@ս	N+Com@PRO+Dem
բարի	բարի	A
որ	որ	PRO+Rel
խաղաղեաց	խաղաղել	V
զանձինս	զ@անձն	I+Prep@N+Com
մեր	մեք	PRO+Per1p
մխիթարութեամբն	մխիթարութիւն@ն	N+Com@PRO+Dem
իւրով	իւր	PRO+Pos3
թուղթ	թուղթ	N+Com
երրորդ	երրորդ	NUM+Ord
ժգ	ժգ	NUMA+Car
ինչ	ինչ	PRO+Ind
զոր	զ@որ	I+Prep@PRO+Rel
ոչ	ոչ	I+Neg
ոք	ոք	PRO+Ind
կարէ	կարել	V
իմանալ	իմանալ	V
եւ	եւ	I+Conj
կամ	կամ	I+Conj
առնուլ	առնուլ	V
գրեցեր	գրեմ	V
առաքեցեր	առաքել	V
առ	առ	I+Prep
մեզ	մեք	PRO+Per1p
եւ	եւ	I+Conj
զայն	զ@այն	I+Prep@PRO+Dem
զոր	զ@որ	I+Prep@PRO+Rel
ցանկամք	ցանկալ	V
ուսանել	ուսանիլ	V
եւ	եւ	I+Conj
առնուլ	առնուլ	V
ոչ	ոչ	I+Neg
առաքեցեր	առաքել	V
թէ	եթե	I+Conj
ով	ո՞	PRO+Int
է	լինել	V
որ	որ	PRO+Rel
ընկալաւ	ընդունիլ	V
զքեզ	զ@դու	I+Prep@PRO+Per2s
եւ	եւ	I+Conj
թէ	եթե	I+Conj
իցէ	լինել	V
աւրհնեալ	աւրհնել	V
եւ	եւ	I+Conj
ուր	ուր	I+Adv
բազմեալ	բազմիլ	V
իցես	լինել	V
```
Note:
- Pay close attention to each word's context, as some may have multiple POS tags.
- All words in the input must be annotated without omission.
- Only use or combine tags from the provided tagset:
${HYE_tagset}
A form can also be a combination of multiple tokens and POS. For example:
զնախախնամութիւն combination of զ and նախախնամութիւն lemmata, and then combination of I+Prep and N+Com
In this case, we will identify the combination with a `@`:
Output: զնախախնամութիւն, զ@նախախնամութիւն, I+Prep@N+Com
Input text to process:
${HYE_test}
