context = You are an expert in computational linguistics with a specialization in Old Georgian language processing. An academic has compiled a database of Old Georgian words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Old Georgian texts.
Objective (O):  Examine the provided Old Georgian content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Old Georgian language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
form	lemma	pos
წარვიდა	წარსლვა	V+Mas
ხოლო	ხოლო	I+Conj
ესე	ესე	PRO+Dem
აზოჲ	აზო	N+Ant
წარვიდა	წარსლვა	V+Mas
არიან-ქართლად	არიან-ქართლი	N+Top
მამისა	მამაჲ	N+Com
თჳსისა	თჳსი	PRO+Pos3s
და	და	I+Conj
წარმოიყვანა	წარმოყვანება	V+Mas
რვაჲ	რვაჲ	NUM+Car
სახლი	სახლი	N+Com
და	და	I+Conj
ათნი	ათი	NUM+Car
სახლნი	სახლი	N+Com
მამამძუძეთანი	მამამძუძჱ	V+Part
და	და	I+Conj
დაჯდა	დაჯდომა	V+Mas
ძუელ	ძუელი	A
მცხეთას	მცხეთა	N+Top
და	და	I+Conj
თანა-ჰყვანდეს	თანაყოლა	V+Mas
კერპნი	კერპი	N+Com
ღმრთად	ღმერთი	N+Com
გაცი	გაცი	N+Ant
და	და	I+Conj
გაიმ	გაიმ	N+Ant
და	და	I+Conj
ესე	ესე	PRO+Dem
იყო	ყოფა	V+Mas
პირველი	პირველი	NUM+Ord
მეფჱ	მეფჱ	N+Com
მცხეთას	მცხეთა	N+Top
შინა	შინა	I+Prep
აზოჲ	აზო	N+Ant
ძჱ	ძჱ	N+Com
არიან-ქართველთა	არიან-ქართველი	A
მეფისაჲ	მეფჱ	N+Com
და	და	I+Conj
მოკუდა	მოკუდომა	V+Mas
და	და	I+Conj
შემდგომად	შემდგომი	V+Part
მისა	იგი	PRO+Dem
დადგა	დადგომა	V+Mas
ფარნავაზ	ფარნავაზ	N+Ant
ამან	ესე	PRO+Dem
აღმართა	აღმართება	V+Mas
კერპი	კერპი	N+Com
დიდი	დიდი	A
ცხჳრსა	ცხჳრი	N+Com
ზედა	ზედა	I+Prep
და	და	I+Conj
დასდვა	დადება	V+Mas
სახელი	სახელი	N+Com
მისი	მისი	PRO+Pos3s
არმაზი	არმაზ (ant)	N+Ant
და	და	I+Conj
მოქმნა	მოქმნა	V+Mas
ზღუდე	ზღუდჱ	N+Com
წყლით	წყალი	N+Com
კერძო	კერძოჲ	A
და	და	I+Conj
ჰრქჳან	რქუმა	V+Mas
არმაზ	არმაზ (top)	N+Top
და	და	I+Conj
შემდგომად	შემდგომი	V+Part
მისა	იგი	PRO+Dem
დადგა	დადგომა	V+Mas
მეფედ	მეფჱ	N+Com
საურმაგ	საურმაგ	N+Ant
ამან	ესე	PRO+Dem
აღმართა	აღმართება	V+Mas
კერპი	კერპი	N+Com
აჲნინა	აჲნინა	N+Ant
გზასა	გზაჲ	N+Com
ზედა	ზედა	I+Prep
და	და	I+Conj
იწყო	წყება	V+Mas
არმაზს	არმაზ (top)	N+Top
შჱნებად	შჱნებაჲ	N+Com
და	და	I+Conj
მისა	იგი	PRO+Dem
შემდგომად	შემდგომი	V+Part
მეფობდა	მეფობა	V+Mas
მირვან	მირვან	N+Ant
და	და	I+Conj
აღმართა	აღმართება	V+Mas
დანინა	დანინა	N+Ant
გზასა	გზაჲ	N+Com
ზედა	ზედა	I+Prep
წინარჱ	წინარჱ	A
და	და	I+Conj
აღაშენა	აღშჱნება	V+Mas
არმაზი	არმაზ (top)	N+Top
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
ფარნაჯობ	ფარნაჯობ	N+Ant
და	და	I+Conj
აღმართა	აღმართება	V+Mas
კერპი	კერპი	N+Com
ზადენ	ზადენ	N+Ant
მთასა	მთაჲ	N+Com
ზედა	ზედა	I+Prep
და	და	I+Conj
აღაშენა	აღშჱნება	V+Mas
ციხჱ	ციხჱ	N+Com
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
არსოკ	არსოკ	N+Ant
ქალაქსა	ქალაქი	N+Com
ზღუდენი	ზღუდჱ	N+Com
მოაქმნნა	მოქმნა	V+Mas
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
არიკ	არიკ	N+Ant
რომელმან	რომელი (იგი)	PRO+Rel
შიდა	შიდა	I+Prep
ციხე	ციხჱ	N+Com
აღაშენა	აღშჱნება	V+Mas
არმაზსა	არმაზ (top)	N+Top
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
ბრატმან	ბრატმან	N+Ant
რომელსა	რომელი (იგი)	PRO+Rel
ზე	ზე	I+Prep
მცხეთას	მცხეთა	N+Top
ქალაქი	ქალაქი	N+Com
დაეწყო	დაწყება	V+Mas
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
მირეან	მირიან	N+Ant
და	და	I+Conj
მან	იგი	PRO+Dem
აღაშენა	აღშჱნება	V+Mas
მცხეთაჲ	მცხეთა	N+Top
ქალაქი	ქალაქი	N+Com
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
არსუკ	არსუკ	N+Ant
რომელმან	რომელი (იგი)	PRO+Rel
კასპი	კასპი	N+Top
შეიპყრა	შეპყრობა	V+Mas
და	და	I+Conj
უფლისციხე	უფლისციხჱ	N+Top
განაგო	განგება	V+Mas
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
როკ	როკ	N+Ant
რომელმან	რომელი (იგი)	PRO+Rel
რაჲთურთით	რაჲთურთით	I+Adv
მცხეთაჲ	მცხეთა	N+Top
გაიშორა	განშორება	V+Mas
და	და	I+Conj
მეფობაჲ	მეფობაჲ	N+Com
ორად	ორი	NUM+Car
გაიყო	განყოფა	V+Mas
ორნი	ორი	NUM+Car
მეფენი	მეფჱ	N+Com
დასხდეს	დასხმა	V+Mas
იმიერ	იმიერ	I+Adv
და	და	I+Conj
ამიერ	ამიერ	I+Adv
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
ქარძამ	ქარძამ	N+Ant
არმაზს	არმაზ (top)	N+Top
და	და	I+Conj
მცხეთას	მცხეთა	N+Top
ბრატმან	ბრატმან	N+Ant
და	და	I+Conj
ამათთა	ესე	PRO+Dem
ჟამთა	ჟამი	N+Com
ჰურიანი	ჰურიაჲ	A
მოვიდეს	მოსლვა	V+Mas
მცხეთას	მცხეთა	N+Top
და	და	I+Conj
დასხდეს	დასხმა	V+Mas
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	I+Adv
ფარსმან	ფარსმან	N+Ant
და	და	I+Conj
ამიერ	ამიერ	I+Adv
კაოზ	კაოზ	N+Ant
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	I+Adv
არსოკ	არსოკ	N+Ant
და	და	I+Conj
ამიერ	ამიერ	I+Adv
ამაზაერ	ამაზაერ	N+Ant
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	I+Adv
ამაზასპ	ამაზასპ	N+Ant
და	და	I+Conj
ამიერ	ამიერ	I+Adv
დერუკ	დერუკ	N+Ant
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	I+Adv
ფარსმან	ფარსმან	N+Ant
ქველი	ქველი	A
და	და	I+Conj
ამიერ	ამიერ	I+Adv
ამიერ	ამიერ	I+Adv
ფარსმან	ფარსმან	N+Ant
ავაზ	ავაზი	N+Com
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	I+Adv
როკ	როკ	N+Ant
და	და	I+Conj
ამიერ	ამიერ	I+Adv
მირდატ	მირდატ	N+Ant
და	და	I+Conj
ამისა	ესე	PRO+Dem
ზე	ზე	I+Prep
მოაკლდა	მოკლება	V+Mas
არმაზი	არმაზ (top)	N+Top
სამეუფოჲ	სამეუფოჲ	A
და	და	I+Conj
მცხეთას	მცხეთა	N+Top
ოდენ	ოდენ	I+Adv
იყო	ყოფა	V+Mas
მეფობაჲ	მეფობაჲ	N+Com
და	და	I+Conj
მეფობდა	მეფობა	V+Mas
ღადამი	ღადამი	N+Ant
და	და	I+Conj
დღე	დღჱ	N+Com
კ	20	NUMA+Car
და	და	I+Conj
ფარსმან	ფარსმან	N+Ant
და	და	I+Conj
ამაზასპ	ამაზასპ	N+Ant
და	და	I+Conj
რევ	რევ	N+Ant
მართალი	მართალი	A
ვაჩე	ვაჩე	N+Ant
ბაკურ	ბაკურ	N+Ant
მირდატ	მირდატ	N+Ant
ასფაგურ	ასფაგურ	N+Ant
ლევ	ლევ	N+Ant
მამაჲ	მამაჲ	N+Com
მირეანისი	მირიან	N+Ant
ესე	ესე	PRO+Dem
ოც	ოცი	NUM+Car
და	და	I+Conj
რვანი	რვაჲ	NUM+Car
მეფენი	მეფჱ	N+Com
ქართლს	ქართლი	N+Top
შინა	შინა	I+Prep
წარმართნი	წარმართი	N+Com
და	და	I+Conj
იყო	ყოფა	V+Mas
დღეთა	დღჱ	N+Com
კოსტანტინე	კოსტანტინე	N+Ant
მეფისათა	მეფჱ	N+Com
ქრისტეს	ქრისტე	N+Ant
აღმაღლებითგან	აღმაღლებაჲ@გან	N+Com@I+Prep
სამას	სამასი	NUM+Car
და	და	I+Conj
მეათესა	მეათჱ	NUM+Ord
წელსა	წელი	N+Com
იყო	ყოფა	V+Mas
ღუაწლი	ღუაწლი	N+Com
ბრძოლისაჲ	ბრძოლაჲ	N+Com
მტერთაგან	მტერი@გან	N+Com@I+Prep
და	და	I+Conj
ფრიად	ფრიად	I+Adv
ერეოდეს	რევა	V+Mas
მეფესა	მეფჱ	N+Com
კოსტანტინეს	კოსტანტინე	N+Ant
ძესა	ძჱ	N+Com
კოსტაჲსსა	კოსტა	N+Ant
და	და	I+Conj
გულგდებულ	გულგდებული	V+Part
იყო	ყოფა	V+Mas
ურვათაგან	ურვაჲ@გან	A@I+Prep
კოსტანტი	კოსტანტ	N+Ant
კეისარი	კეისარი	N+Com
იყო	ყოფა	V+Mas
ვინმე	ვინმე	PRO+Ind
კაცი	კაცი	N+Com
ეფესელი	ეფესელი	A
და	და	I+Conj
წარმოთქუა	წარმოთქუმა	V+Mas
წინაშე	წინაშე	I+Prep
მეფისა	მეფჱ	N+Com
ვითარმედ	ვითარმედ	I+Conj
ქრისტეანენი	ქრისტეანჱ	A
იგი	იგი	PRO+Dem
ჰრომნი	ჰრომი	A
და	და	I+Conj
ყოველნი	ყოველი	A
ჰინდონი	ჰინდოჲ	A
და	და	I+Conj
ვისცა	ვინ@ცა	PRO+Int@I+Part
ვის	ვინ	PRO+Int
აქუს	ქონება	V+Mas
შჯული	შჯული	N+Com
იგი	იგი	PRO+Dem
ახალი	ახალი	A
ქრისტეს	ქრისტე	N+Ant
წმიდისაჲ	წმიდაჲ	A
ძელითა	ძელი	N+Com
ჯუარისაჲთა	ჯუარი	N+Com
და	და	I+Conj
მისითა	მისი	PRO+Pos3s
სასოვებითა	სასოებაჲ	N+Com
სძლევენ	ძლევა	V+Mas
მტერთა	მტერი	N+Com
ძლიერად	ძლიერი	A
მას	იგი	PRO+Dem
ჟამსა	ჟამი	N+Com
აღიძრა	აღძრვა	V+Mas
მეფჱ	მეფჱ	N+Com
გუნდებითა	გუნდი	N+Com
და	და	I+Conj
წარავლინა	წარვლინება	V+Mas
მოყვანებად	მოყვანებაჲ	N+Com
ებისკოპოსთა	ეპისკოპოსი	N+Com
იერუსალჱმით	იერუსალჱმი	N+Top
ანტიოქიაჲთ	ანტიოქია	N+Top
ჰრომით	ჰრომი (top)	N+Top
და	და	I+Conj
ალექსანდრიაჲთ	ალექნანდრია	N+Top
და	და	I+Conj
ნათელ-იღო	ნათლისღება	V+Mas
მან	იგი	PRO+Dem
თავადმან	თავადი	N+Com
და	და	I+Conj
დედამან	დედაჲ	N+Com
მისმან	მისი	PRO+Pos3s
ბანაკითურთ	ბანაკი@ურთ	N+Com@I+Prep
ხოლო	ხოლო	I+Conj
ამით	ესე	PRO+Dem
ჟამითგან	ჟამი@გან	N+Com@I+Prep
მეათესა	მეათჱ	NUM+Ord
წელსა	წელი	N+Com
წარვიდა	წარსლვა	V+Mas
ჰელენე	ელენე	N+Ant
იერუსალჱმდ	იერუსალჱმი	N+Top
ძიებად	ძიებაჲ	N+Com
ჯუართა	ჯუარი	N+Com
და	და	I+Conj
მეათხუთხმეტესა	მეათხუთხმეტჱ	NUM+Ord
წელსა	წელი	N+Com
ივლტოდა	ვლტოლა	V+Mas
დედაკაცი	დედაკაცი	N+Com
ვინმე	ვინმე	PRO+Ind
მეფეთა	მეფჱ	N+Com
ევადაგი	ევადაგი	N+Com
სახელით	სახელი	N+Com
რიფსიმე	რიფსიმე	N+Ant
რომლისამე	რომელი (იგი)@მე	PRO+Rel@I+Part
მიზეზისათჳს	მიზეზი@თჳს	N+Com@I+Prep
დედამძუძითურთ	დედამძუძჱ@ურთ	N+Com@I+Prep
და	და	I+Conj
იყო	ყოფა	V+Mas
მის	იგი	PRO+Dem
თანა	თანა	I+Prep
ტყუე	ტყუჱ	N+Com
ერთი	ერთი	NUM+Car
დედაკაცი	დედაკაცი	N+Com
შუენიერი	შუენიერი	A
სახელით	სახელი	N+Com
ნინო	ნინო	N+Ant
რომლისა	რომელი (იგი)	PRO+Rel
საქმჱ	საქმჱ	V+Part
მისი	მისი	PRO+Pos3s
გამოიძია	გამოძიება	V+Mas
ჰელენე	ელენე	N+Ant
დედოფალმან	დედოფალი	N+Com
და	და	I+Conj
იყო	ყოფა	V+Mas
იგი	იგი	PRO+Dem
ჰრომი	ჰრომი (top)	N+Top
მთავარი	მთავარი	V+Part
და	და	I+Conj
თჳთ	თჳთ	I+Adv
მოევლო	მოვლენა	V+Mas
გზაჲ	გზაჲ	N+Com
თჳსი	თჳსი	PRO+Pos3s
და	და	I+Conj
ექმნნეს	ქმნა	V+Mas
კურნებანი	კურნებაჲ	N+Com
და	და	I+Conj
მოწევნულ	მოწევნული	V+Part
იყო	ყოფა	V+Mas
საბერძნეთა	საბერძნეთი	N+Top
და	და	I+Conj
Note:
- Pay close attention to each word's context, as some may have multiple POS tags.
- All words in the input must be annotated without omission.
- Only use or combine tags from the provided tagset:
${HYE_tagset}
A form can also be a combination of multiple tokens and POS. For example:
მირიანვე combination of მირიან and ვე lemmata, and then combination of N+Ant and I+Part.
In this case, we will identify the combination with a `@`:
Output: მირიანვე	მირიან@ვე	N+Ant@I+Part
Input text to process:
${HYE_test}
