context = You are an expert in computational linguistics with a specialization in Syriac language processing. An academic has compiled a database of Syriac words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Syriac texts.
Objective (O):  Examine the provided Syriac content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Syriac language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
form	lemma	pos
ܐܢܘܢ	ܐܸܢܘܿܢ	PRO_pers
ܕܠܘ	ܕـ@ܠܵܘ	PART@ADV
ܪܘܚܐ	ܪܘܼܚܵܐ	NOUN
ܗܘܐ	ܗܘܵܐ	V1
ܕܥܠ	ܕـ@ܥܲܠ 2	PART@V1
ܡܢ	ܡܸܢ	PART
ܬܪܥܐ	ܬܲܪܥܵܐ	NOUN
ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܚܪܝܢܐ	ܚܸܪܝܵܢܵܐ	NOUN
ܗܝ	ܗܝܼ	PRO_pers
ܒܣܪܐ	ܒܸܣܪܵܐ	NOUN
ܘܓܪܡܐ	ܘـ@ܓܲܪܡܵܐ	PART@NOUN
ܐܝܬ	ܐܝܼܬ	PART
ܗܘܐ	ܗܘܵܐ	V1
ܠܗ	ܠـ@ܗܘܼ	PART@PRO_pers
ܓܝܪ	ܓܹܝܪ	PART
ܐܝܟ	ܐܲܝܟ݂	PART
ܕܐܦ	ܕـ@ܐܵܦ	PART@PART
ܐܘܕܝ	ܐܵܘܕܝܼ	V5
ܐܢ	ܐܸܢ	PART
ܠܘ	ܠܵܘ	ADV
ܦܓܪܐ	ܦܲܓܪܵܐ	NOUN
ܗܘܐ	ܗܘܵܐ	V1
ܒܫܪܪܐ	ܒـ@ܫܪܵܪܵܐ	PART@NOUN
ܐܝܟܢ	ܐܲܝܟ݁ܲܢܵܐ	PRO_int
ܓܫܘܗܝ	ܓܲܫ@ܗܘܼ	V1@PRO_pers
ܘܕܦܓܪܐ	ܘـ@ܕـ@ܦܲܓܪܵܐ	PART@PART@NOUN
ܗܘܐ	ܗܘܵܐ	V1
ܒܬܪܥܐ	ܒـ@ܬܲܪܥܵܐ	PART@NOUN
ܐܚܝܕܐ	ܐܲܚܝܼܕܵܐ	ADJ
ܐܝܟܢ	ܐܲܝܟ݁ܲܢܵܐ	PRO_int
ܥܠ	ܥܲܠ 2	V1
ܗܘܐ	ܗܘܵܐ	V1
ܪܡܢ	ܪܵܡܵܐ	ADJ
ܐܢܝܢ	ܐܸܢܹܝܢ	PRO_pers
ܡܢ	ܡܸܢ	PART
ܦܘܫܩܐ	ܦܘܼܫܵܩܵܐ	NOUN
ܡܘܢ	ܡܵܢܵܐ	PRO_int
ܠܐܝܢ	ܠܐܝܼ	V1
ܐܢܬܘܢ	ܐܲܢ̄ܬ݁ܘܿܢ	PRO_pers
ܦܫܘܛܘ	ܦܫܲܛ	V1
ܡܠܬܟܘܢ	ܡܸܠܬ݂ܵܐ@ܐܲܢ̄ܬ݁ܘܿܢ	NOUN@PRO_pers
ܠܡܫܒܚܘ	ܠـ@ܫܲܒ݁ܲܚ	PART@V3
ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܥܘܩܒܐ	ܥܘܼܩܵܒܵܐ	NOUN
ܥܕ	ܥܲܕ	PART
ܫܚܩ	ܫܚܲܩ	V1
ܐܢܬ	ܐܲܢ̄ܬ݁	PRO_pers
ܥܠ	ܥܲܠ 1	PART
ܫܘܐܠܐ	ܫܘܼܐܵܠܵܐ	NOUN
ܒܣܓܝܐܬܐ	ܒـ@ܣܲܓܝܼܐܵܐ	PART@ADJ
ܛܪ	ܢܛܲܪ	V1
ܦܘܩܕܢܐ	ܦܘܼܩܕ݂ܵܢܵܐ	NOUN
ܘܗܐ	ܘـ@ܗܵܐ	PART@INTJ
ܩܕܝܬܗ	ܩܲܕ݁ܝܼ@ܗܝܼ	V3@PRO_pers
ܠܓܡܝܪܘܬܐ	ܠـ@ܓܡܝܼܪܘܼܬܵܐ	PART@NOUN
ܗܒ	ܝܲܗ̄ܒ	V1
ܬܫܒܘܚܬܐ	ܬܸܫܒܘܿܚܬ݁ܐ	NOUN
ܟܕ	ܟܲܕ	PART
ܣܓܕ	ܣܓܸܕ	V1
ܐܢܬ	ܐܲܢ̄ܬ݁	PRO_pers
ܥܠ	ܥܲܠ 1	PART
ܦܘܪܩܢܟ	ܦܘܼܪܩܵܢܵܐ@ܐܲܢ̄ܬ݁	NOUN@PRO_pers
ܠܐ	ܠܵܐ	PART
ܕܝܢ	ܕܹܝܢ	PART
ܬܒܨܐ	ܒܨܵܐ	V1
ܟܕ	ܟܲܕ	PART
ܫܚܩ	ܫܚܲܩ	V1
ܐܢܬ	ܐܲܢ̄ܬ݁	PRO_pers
ܥܠ	ܥܲܠ 1	PART
ܦܪܘܩܟ	ܦܵܪܘܿܩܵܐ@ܐܲܢ̄ܬ݁	NOUN@PRO_pers
ܦܬܚ	ܦܬܲܚ	V1
ܣܦܘܬܟ	ܣܸܦ݂ܬ݂ܵܐ@ܐܲܢ̄ܬ݁	NOUN@PRO_pers
ܠܡܫܒܚܘ	ܠـ@ܫܲܒ݁ܲܚ	PART@V3
ܦܪܘܫܐܝܬ	ܦܵܪܘܿܫܵܐܝܼܬ	ADV
ܠܒܪܐ	ܠـ@ܒܪܵܐ 1	PART@NOUN
ܕܥܠ	ܕـ@ܥܲܠ 2	PART@V1
ܗܘܐ	ܗܘܵܐ	V1
ܒܬܪܥܐ	ܒـ@ܬܲܪܥܵܐ	PART@NOUN
ܐܚܝܕܐ	ܐܲܚܝܼܕܵܐ	ADJ
ܨܝܕ	ܨܹܝܕ	PART
ܬܠܡܝܕܐ	ܬܲܠܡܝܼܕܵܐ	NOUN
ܫܪܐ	ܫܪܵܐ	V1
ܒܥܠܝܬܐ	ܒـ@ܥ̤ܠܝܼܬܵܐ	PART@NOUN
ܘܠܐ	ܘـ@ܠܵܐ	PART@PART
ܙܥܘ	ܙܵܥ	V1
ܣܘܟܪܝܗ	ܣܘܼܟ݁ܪܵܐ@ܗܝܼ	NOUN@PRO_pers
ܕܐܚܝܕܐ	ܕـ@ܐܲܚܝܼܕܵܐ	PART@ADJ
ܗܘܬ	ܗܘܵܐ	V1
ܢܫܪܐ	ܫܪܵܐ	V1
ܒܢܦܫܟ	ܒـ@ܢܲܦܫܵܐ@ܐܲܢ̄ܬ݁	PART@NOUN@PRO_pers
ܟܕ	ܟܲܕ	PART
ܚܘܫܒܝܗ	ܚܘܼܫܵܒܵܐ@ܗܝܼ	NOUN@PRO_pers
ܠܐ	ܠܵܐ	PART
ܡܫܬܓܫܝܢ	ܐܸܫܬܓܸܫ	V2
ܠܐ	ܠܵܐ	PART
ܦܬܚ	ܦܬܲܚ	V1
ܬܪܥܐ	ܬܲܪܥܵܐ	NOUN
ܟܕ	ܟܲܕ	PART
ܥܐܠ	ܥܲܠ 2	V1
ܗܘܐ	ܗܘܵܐ	V1
ܨܝܕ	ܨܹܝܕ	PART
ܬܠܡܝܕܐ	ܬܲܠܡܝܼܕܵܐ	NOUN
ܠܐ	ܠܵܐ	PART
ܢܗܘܘܢ	ܗܘܵܐ	V1
ܒܟ	ܒـ@ܐܲܢ̄ܬ݁	PART@PRO_pers
ܣܕܩܐ	ܣܸܕܩܵܐ	NOUN
ܘܟܫܠܐ	ܘـ@ܟܸܫܠܵܐ	PART@NOUN
ܟܕ	ܟܲܕ	PART
ܣܓܕ	ܣܓܸܕ	V1
ܐܢܬ	ܐܲܢ̄ܬ݁	PRO_pers
ܦܪܩ	ܦܪܲܩ	V1
ܠܫܒܝܬܐ	ܠـ@ܫܒܝܼܬܵܐ	PART@NOUN
ܘܗܦܟܬ	ܘـ@ܗܦܲܟ	PART@V1
ܕܬܐܬܐ	ܕـ@ܐܸܬܵܐ	PART@V1
ܒܥܘܫܢܐ	ܒـ@ܥܘܼܫܢܵܐ	PART@NOUN
ܩܫܬܗ	ܩܸܫܬ݁ܵܐ@ܗܘܼ	NOUN@PRO_pers
ܘܥܠ	ܘـ@ܥܲܠ 2	PART@V1
ܕܢܠܒܛ	ܕـ@ܠܲܒܸ݁ܛ	PART@V3
ܠܪܒܝ	ܠـ@ܪܲܒ݁ܵܐ	PART@ADJ
ܚܝܠܗ	ܚܲܝܠܵܐ@ܗܘܼ	NOUN@PRO_pers
ܥܠ	ܥܲܠ 1	PART
ܙܟܘܬܐ	ܙܵܟܘܼܬܵܐ	NOUN
ܥܠ	ܥܲܠ 2	V1
ܡܢ	ܡܸܢ	PART
ܫܠܝܐ	ܫܸܠܝܵܐ	NOUN
ܘܩܡ	ܘـ@ܩܵܡ	PART@V1
ܒܡܨܥܬܐ	ܒـ@ܡܨܲܥܬܵܐ	PART@NOUN
ܘܠܐ	ܘـ@ܠܵܐ	PART@PART
ܐܪܓܫܘ	ܐܲܪܓܸܫ	V5
ܒܗ	ܒـ@ܗܘܼ	PART@PRO_pers
ܕܒܬܕܡܘܪܬܐ	ܕـ@ܒـ@ܬܸܕܡܘܿܪܬܵܐ	PART@PART@NOUN
ܢܪܕܘܦ	ܪܕܲܦ	V1
ܩܢܛܐ	ܩܸܢܛܵܐ	NOUN
ܕܪܥܝܢܝܗܘܢ	ܕـ@ܪܸܥܝܵܢܵܐ@ܗܸܢܘܿܢ	PART@NOUN@PRO_pers
ܫܠܡܐ	ܫܠܵܡܵܐ	NOUN
ܥܡܟܘܢ	ܥܲܡ@ܐܲܢ̄ܬ݁ܘܿܢ	PART@PRO_pers
ܐܡܪ	ܐܸܡܲܪ	V1
ܗܘܐ	ܗܘܵܐ	V1
ܠܗܘܢ	ܠـ@ܗܸܢܘܿܢ	PART@PRO_pers
ܡܪܐ	ܡܵܪܵܐ	NOUN
ܫܠܡܐ	ܫܠܵܡܵܐ	NOUN
ܕܢܙܠܘܚ	ܕـ@ܙܠܲܚ	PART@V1
ܫܝܢܐ	ܫܲܝܢܵܐ	NOUN
ܒܪܥܝܢܝܗܘܢ	ܒـ@ܪܸܥܝܵܢܵܐ@ܗܸܢܘܿܢ	PART@NOUN@PRO_pers
ܕܫܓܝܫܝܢ	ܕـ@ܫܓܝܼܫܵܐ	PART@ADJ
ܗܘܘ	ܗܘܵܐ	V1
ܚܘܝ	ܚܵܘܝܼ	V3
ܐܢܘܢ	ܐܸܢܘܿܢ	PRO_pers
ܒܙܥܐ	ܒ̤ܙܥܵܐ	NOUN
ܕܐܝܕܘܗܝ	ܕـ@ܐܝܼܕܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
ܚܒܝܒܐܝܬ	ܚܲܒ݁ܝܼܒܵܐܝܼܬ	ADV
ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܢܬܦܠܓܘܢ	ܐܸܬܦܲܠܲܓ	V4
ܡܛܠ	ܡܸܛܘܿܠ	PART
ܩܛܠܗ	ܩܸܛܠܵܐ@ܗܘܼ	NOUN@PRO_pers
ܘܙܩܝܦܘܬܗ	ܘـ@ܙܩܝܼܦܘܼܬܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
ܓܠܐ	ܓܠܵܐ	V1
ܩܘܕܡܝܗܘܢ	ܩܘܼܕܡܵܐ@ܗܸܢܘܿܢ	NOUN@PRO_pers
ܐܬܐ	ܐܵܬ݂ܵܐ	NOUN
ܕܣܛܪܗ	ܕـ@ܣܸܛܪܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
ܢܫܪܪ	ܫܲܪܲܪ	V3
ܐܢܘܢ	ܐܸܢܘܿܢ	PRO_pers
ܕܙܟܐ	ܕـ@ܙܟܵܐ	PART@V1
ܠܚܫܐ	ܠـ@ܚܲܫܵܐ	PART@NOUN
ܕܨܠܝܒܘܬܐ	ܕـ@ܨܠܝܼܒܘܼܬܵܐ	PART@NOUN
ܘܥܒܪ	ܘـ@ܥܒܲܪ	PART@V1
ܐܢܘܢ	ܐܸܢܘܿܢ	PRO_pers
ܒܪ	ܒܪܵܐ 1	NOUN
ܡܠܟܘܬܐ	ܡܲܠܟܘܼܬܵܐ	NOUN
ܕܐܪܥ	ܕـ@ܐܲܪܲܥ	PART@V1
ܩܐܪܣܐ	ܩܹܐܪܣܵܐ	NOUN
ܐܝܟ	ܐܲܝܟ݂	PART
ܟܫܝܪܐ	ܟܲܫܝܼܪܵܐ	ADJ
ܘܒܡܚܘܬܗ	ܘـ@ܒـ@ܡܚܘܿܬܵܐ@ܗܘܼ	PART@PART@NOUN@PRO_pers
ܦܪܩ	ܦܪܲܩ	V1
ܓܠܘܬܐ	ܓܵܠܘܼܬܵܐ	NOUN
ܡܢ	ܡܸܢ	PART
ܫܒܝܐ	ܫܲܒ݁ܵܝܵܐ	NOUN
ܣܕܪ	ܣܕܲܪ	V1
ܫܘܡܬܗ	ܫܘܼܡܬܵܐ@ܗܘܼ	NOUN@PRO_pers
ܕܬܚܙܐ	ܕـ@ܚܙܵܐ	PART@V1
ܦܪܝܩܬܐ	ܦܪܝܼܩܵܐ	ADJ
ܚܫܐ	ܚܲܫܵܐ	NOUN
ܕܣܒܠ	ܕـ@ܣܒܲܠ	PART@V1
